dimension,polytope_type,standard_accuracy,standard_f1,standard_precision,standard_recall,p2l_accuracy,p2l_f1,p2l_precision,p2l_recall,p2l_improvement,support_set_size,support_set_ratio,convergence_iterations,converged,train_balance,val_balance,test_balance,metadata
2,hypercube,0.6158940196037292,0.35555555555555557,0.35555555555555557,0.35555555555555557,0.7814569473266602,0.42105263157894735,1.0,0.26666666666666666,0.1655629277229309,169,0.24177396280400573,169,False,0.30042918454935624,0.3,0.2980132450331126,"{'type': 'hypercube', 'center': array([0., 0.]), 'side_length': 2.0, 'volume': 4.0}"
3,hypercube,0.5165562629699707,0.21505376344086022,0.20833333333333334,0.2222222222222222,0.7284768223762512,0.16326530612244897,1.0,0.08888888888888889,0.21192055940628052,169,0.24177396280400573,169,False,0.30042918454935624,0.3,0.2980132450331126,"{'type': 'hypercube', 'center': array([0., 0., 0.]), 'side_length': 2.0, 'volume': 8.0}"
5,hypercube,0.5496688485145569,0.24444444444444444,0.24444444444444444,0.24444444444444444,0.7086092829704285,0.043478260869565216,1.0,0.022222222222222223,0.15894043445587158,169,0.24177396280400573,169,False,0.30042918454935624,0.3,0.2980132450331126,"{'type': 'hypercube', 'center': array([0., 0., 0., 0., 0.]), 'side_length': 2.0, 'volume': 32.0}"
7,hypercube,0.6688741445541382,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.7019867300987244,0.0,0.0,0.0,0.03311258554458618,169,0.24177396280400573,169,False,0.30042918454935624,0.3,0.2980132450331126,"{'type': 'hypercube', 'center': array([0., 0., 0., 0., 0., 0., 0.]), 'side_length': 2.0, 'volume': 128.0}"
10,hypercube,0.5099337697029114,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.7019867300987244,0.0,0.0,0.0,0.192052960395813,169,0.24177396280400573,169,False,0.30042918454935624,0.3,0.2980132450331126,"{'type': 'hypercube', 'center': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]), 'side_length': 2.0, 'volume': 1024.0}"
